Section,h,b,tw,tf,r,hi,d,A,AL,Iy,Wel_y,Wpl_y,iy,Avz,Iz,Wel_z,Wpl_z,iz,Ss,It,Iw,Flexure_Class_S355,Flexure_Class_S460,Flexure_Class_S355,Flexure_Class_S460
HE 400 M,432.0,307.0,21.0,40.0,27.0,352.0,298.0,325.8,2.004,104110.0,4820.0,5570.0,17.8,110.1,19330.0,1259.0,1934.0,7.7,13.2,1520.0,7410.0,1.0,1,1.0,1
HE 400 B,400.0,300.0,13.5,24.0,27.0,352.0,298.0,197.8,1.927,57680.0,2884.0,3231.0,17.0,69.97,10810.0,721.2,1104.0,7.3,9.3,361.0,3817.0,1.0,1,1.0,1
HE 400 A,390.0,300.0,11.0,19.0,27.0,352.0,298.0,159.0,1.912,45060.0,2311.0,2561.0,16.8,57.32,8563.0,570.9,872.8,7.3,8.0,193.1,2942.0,1.0,1,2.0,2
HE 400 AA,378.0,300.0,9.5,13.0,27.0,352.0,298.0,117.7,1.891,31250.0,1653.0,1824.0,16.2,47.95,5861.0,390.7,599.6,7.0,6.7,81.31,1948.0,3.0,3,3.0,4
HE 360 M,395.0,308.0,21.0,40.0,27.0,315.0,261.0,318.8,1.934,84860.0,4297.0,4989.0,16.3,102.4,19520.0,1267.0,1942.0,7.8,13.2,1512.0,6137.0,1.0,1,1.0,1
HE 360 B,360.0,300.0,12.5,22.5,27.0,315.0,261.0,180.6,1.849,43190.0,2399.0,2682.0,15.4,60.59,10140.0,676.0,1032.0,7.4,8.9,298.3,2883.0,1.0,1,1.0,1
HE 360 A,350.0,300.0,10.0,17.5,27.0,315.0,261.0,142.8,1.834,33080.0,1890.0,2088.0,15.2,48.95,7886.0,525.7,802.2,7.4,7.6,153.3,2176.0,1.0,2,1.0,2
HE 360 AA,339.0,300.0,9.0,12.0,27.0,315.0,261.0,106.6,1.814,23030.0,1359.0,1495.0,14.7,42.16,5410.0,360.6,552.9,7.1,6.4,67.13,1443.0,3.0,3,3.0,3
HE 340 M,377.0,309.0,21.0,40.0,27.0,297.0,243.0,315.8,1.902,76370.0,4051.0,4717.0,15.5,98.62,19710.0,1275.0,1952.0,7.8,13.2,1511.0,5584.0,1.0,1,1.0,1
HE 340 B,340.0,300.0,12.0,21.5,27.0,297.0,243.0,170.9,1.81,36650.0,2156.0,2408.0,14.6,56.08,9689.0,645.9,985.7,7.5,8.6,262.8,2453.0,1.0,1,1.0,1
HE 340 A,330.0,300.0,9.5,16.5,27.0,297.0,243.0,133.5,1.795,27690.0,1678.0,1850.0,14.4,44.95,7435.0,495.7,755.9,7.4,7.4,131.4,1824.0,1.0,3,1.0,3
HE 340 AA,320.0,300.0,8.5,11.5,27.0,297.0,243.0,100.5,1.777,19550.0,1222.0,1340.0,13.9,38.69,5184.0,345.6,529.2,7.1,6.3,60.01,1231.0,3.0,4,3.0,4
HE 320 M,359.0,309.0,21.0,40.0,27.0,279.0,225.0,312.0,1.866,68130.0,3795.0,4435.0,14.7,94.84,19700.0,1275.0,1950.0,7.9,13.2,1506.0,5003.0,1.0,1,1.0,1
HE 320 C,340.0,305.0,16.0,30.5,27.0,279.0,225.0,236.9,1.822,48710.0,2865.0,3274.0,14.3,72.24,14440.0,947.2,1445.0,7.8,10.8,688.0,3453.0,1.0,1,1.0,1
HE 320 B,320.0,300.0,11.5,20.5,27.0,279.0,225.0,161.3,1.771,30820.0,1926.0,2149.0,13.8,51.77,9238.0,615.9,939.0,7.5,8.4,230.4,2068.0,1.0,1,1.0,1
HE 320 A,310.0,300.0,9.0,15.5,27.0,279.0,225.0,124.4,1.756,22920.0,1479.0,1628.0,13.5,41.13,6985.0,465.6,709.7,7.4,7.1,111.8,1512.0,2.0,3,2.0,3
HE 320 AA,301.0,300.0,8.0,11.0,27.0,279.0,225.0,94.6,1.74,16440.0,1092.0,1196.0,13.1,35.39,4959.0,330.6,505.7,7.2,6.1,53.58,1040.0,3.0,4,3.0,4
HE 300 M,340.0,310.0,21.0,39.0,27.0,262.0,208.0,303.1,1.832,59200.0,3482.0,4077.0,13.9,90.52,19400.0,1251.0,1913.0,8.0,13.0,1410.0,4386.0,1.0,1,1.0,1
HE 300 C,320.0,305.0,16.0,29.0,27.0,262.0,208.0,225.1,1.782,40950.0,2559.0,2926.0,13.4,68.47,13730.0,900.7,1374.0,7.8,10.5,604.0,2903.0,1.0,1,1.0,1
HE 300 B,300.0,300.0,11.0,19.0,27.0,262.0,208.0,149.1,1.732,25160.0,1677.0,1868.0,12.9,47.42,8562.0,570.8,870.1,7.5,8.0,189.1,1687.0,1.0,1,1.0,1
HE 300 A,290.0,300.0,8.5,14.0,27.0,262.0,208.0,112.5,1.717,18260.0,1259.0,1383.0,12.7,37.27,6309.0,420.6,641.1,7.4,6.8,87.76,1199.0,3.0,3,3.0,3
HE 300 AA,283.0,300.0,7.5,10.5,27.0,262.0,208.0,88.9,1.705,13800.0,975.5,1065.0,12.4,32.36,4733.0,315.5,482.3,7.2,6.0,47.8,877.1,3.0,4,3.0,4
HE 280 M,310.0,288.0,18.5,33.0,24.0,244.0,196.0,240.2,1.694,39540.0,2551.0,2965.0,12.8,72.02,13160.0,914.0,1396.0,7.4,11.2,807.2,2520.0,1.0,1,1.0,1
HE 280 C,295.0,284.0,14.5,25.5,24.0,244.0,196.0,185.2,1.656,28800.0,1953.0,2225.0,12.4,56.26,9750.0,686.6,1047.0,7.2,9.3,384.8,1767.0,1.0,1,1.0,1
HE 280 B,280.0,280.0,10.5,18.0,24.0,244.0,196.0,131.4,1.618,19270.0,1376.0,1534.0,12.1,41.09,6594.0,471.0,717.5,7.0,7.4,146.0,1130.0,1.0,1,1.0,1
HE 280 A,270.0,280.0,8.0,13.0,24.0,244.0,196.0,97.3,1.603,13670.0,1012.0,1112.0,11.8,31.74,4762.0,340.1,518.1,6.9,6.2,63.45,785.3,3.0,3,3.0,3
HE 280 AA,264.0,280.0,7.0,10.0,24.0,244.0,196.0,78.0,1.593,10550.0,799.8,873.0,11.6,27.52,3664.0,261.7,399.3,6.8,5.5,35.49,590.1,3.0,4,3.0,4
HE 260 M,290.0,268.0,18.0,32.5,24.0,225.0,177.0,219.6,1.575,31300.0,2159.0,2523.0,11.9,66.89,10440.0,779.7,1192.0,6.8,11.1,720.1,1728.0,1.0,1,1.0,1
HE 260 C,275.0,264.0,14.0,25.0,24.0,225.0,177.0,168.4,1.537,22590.0,1642.0,1880.0,11.5,51.94,7680.0,581.8,888.3,6.7,9.2,339.5,1197.0,1.0,1,1.0,1
HE 260 B,260.0,260.0,10.0,17.5,24.0,225.0,177.0,118.4,1.499,14910.0,1147.0,1282.0,11.2,37.59,5134.0,394.9,602.2,6.5,7.3,126.6,753.6,1.0,1,1.0,1
HE 260 A,250.0,260.0,7.5,12.5,24.0,225.0,177.0,86.8,1.484,10450.0,836.3,919.7,10.9,28.75,3667.0,282.1,430.1,6.4,6.0,54.19,516.3,3.0,3,3.0,3
HE 260 AA,244.0,260.0,6.5,9.5,24.0,225.0,177.0,69.0,1.474,7980.0,654.1,714.4,10.7,24.74,2788.0,214.4,327.7,6.3,5.3,30.09,382.5,3.0,4,3.0,4
HE 240 M,270.0,248.0,18.0,32.0,21.0,206.0,164.0,199.6,1.46,24280.0,1799.0,2116.0,11.0,60.06,8152.0,657.4,1005.0,6.3,10.6,626.0,1151.0,1.0,1,1.0,1
HE 240 C,255.0,244.0,14.0,24.5,21.0,206.0,164.0,152.2,1.422,17320.0,1358.0,1563.0,10.6,46.34,5942.0,487.0,743.8,6.2,8.7,289.4,787.8,1.0,1,1.0,1
HE 240 B,240.0,240.0,10.0,17.0,21.0,206.0,164.0,106.0,1.384,11250.0,938.2,1053.0,10.3,33.22,3922.0,326.8,498.4,6.0,6.8,103.8,486.9,1.0,1,1.0,1
HE 240 A,230.0,240.0,7.5,12.0,21.0,206.0,164.0,76.8,1.369,7763.0,675.0,744.6,10.0,25.17,2768.0,230.7,351.6,6.0,5.6,42.14,328.4,2.0,3,2.0,3
HE 240 AA,224.0,240.0,6.5,9.0,21.0,206.0,164.0,60.4,1.359,5835.0,520.9,570.5,9.8,21.54,2077.0,173.0,264.3,5.8,4.9,22.14,239.6,3.0,4,3.0,4
HE 220 M,240.0,226.0,15.5,26.0,18.0,188.0,152.0,149.4,1.322,14600.0,1217.0,1419.0,9.8,45.31,5012.0,443.5,678.5,5.7,8.8,313.0,572.6,1.0,1,1.0,1
HE 220 C,230.0,223.0,12.5,21.0,18.0,188.0,152.0,119.9,1.296,11170.0,972.1,1114.0,9.6,36.46,3887.0,348.6,532.3,5.6,7.5,167.8,423.8,1.0,1,1.0,1
HE 220 B,220.0,220.0,9.5,16.0,18.0,188.0,152.0,91.0,1.27,8090.0,735.5,827.0,9.4,27.92,2843.0,258.4,393.8,5.5,6.2,77.02,295.4,1.0,1,1.0,1
HE 220 A,210.0,220.0,7.0,11.0,18.0,188.0,152.0,64.3,1.255,5409.0,515.2,568.4,9.1,20.67,1954.0,177.6,270.5,5.5,5.0,28.61,193.2,2.0,3,2.0,3
HE 220 AA,205.0,220.0,6.0,8.5,18.0,188.0,152.0,51.5,1.247,4170.0,406.8,445.4,9.0,17.63,1510.0,137.3,209.3,5.4,4.4,15.54,145.6,3.0,4,3.0,4
HE 200 M,220.0,206.0,15.0,25.0,18.0,170.0,134.0,131.3,1.203,10640.0,967.4,1135.0,9.0,41.03,3651.0,354.4,543.2,5.2,8.6,257.5,346.2,1.0,1,1.0,1
HE 200 C,210.0,203.0,12.0,20.0,18.0,170.0,134.0,104.4,1.177,8029.0,764.7,880.6,8.7,32.78,2794.0,275.2,420.9,5.1,7.3,134.7,251.6,1.0,1,1.0,1
HE 200 B,200.0,200.0,9.0,15.0,18.0,170.0,134.0,78.1,1.151,5696.0,569.6,642.5,8.5,24.83,2003.0,200.3,305.8,5.0,6.0,59.7,171.1,1.0,1,1.0,1
HE 200 A,190.0,200.0,6.5,10.0,18.0,170.0,134.0,53.8,1.136,3692.0,388.6,429.4,8.2,18.08,1335.0,133.5,203.8,4.9,4.7,21.04,108.0,2.0,3,2.0,3
HE 200 AA,186.0,200.0,5.5,8.0,18.0,170.0,134.0,44.1,1.13,2944.0,316.5,347.0,8.1,15.45,1068.0,106.8,163.1,4.9,4.2,12.52,84.49,3.0,3,3.0,3
HE 180 M,200.0,186.0,14.5,24.0,15.0,152.0,122.0,113.3,1.089,7483.0,748.3,883.4,8.1,34.65,2580.0,277.4,425.1,4.7,8.0,201.1,199.3,1.0,1,1.0,1
HE 180 C,190.0,183.0,11.5,19.0,15.0,152.0,122.0,89.0,1.063,5543.0,583.4,675.0,7.8,27.29,1944.0,212.4,324.9,4.6,6.7,101.4,141.8,1.0,1,1.0,1
HE 180 B,180.0,180.0,8.5,14.0,15.0,152.0,122.0,65.3,1.037,3831.0,425.6,481.4,7.6,20.24,1362.0,151.4,231.0,4.5,5.4,42.21,93.74,1.0,1,1.0,1
HE 180 A,171.0,180.0,6.0,9.5,15.0,152.0,122.0,45.3,1.024,2510.0,293.6,324.8,7.4,14.47,924.6,102.7,156.4,4.5,4.2,14.88,60.21,2.0,3,2.0,3
HE 180 AA,167.0,180.0,5.0,7.5,15.0,152.0,122.0,36.5,1.018,1966.0,235.5,258.2,7.3,12.15,729.9,81.1,123.5,4.4,3.7,8.314,46.36,3.0,3,3.0,3
HE 160 M,180.0,166.0,14.0,23.0,15.0,134.0,104.0,97.1,0.97,5098.0,566.4,674.5,7.2,30.81,1758.0,211.8,325.4,4.2,7.7,160.5,108.0,1.0,1,1.0,1
HE 160 C,170.0,163.0,11.0,18.0,15.0,134.0,104.0,75.4,0.944,3704.0,435.7,507.6,7.0,24.05,1302.0,159.8,244.8,4.1,6.4,78.69,75.04,1.0,1,1.0,1
HE 160 B,160.0,160.0,8.0,13.0,15.0,134.0,104.0,54.3,0.918,2491.0,311.4,353.9,6.7,17.59,889.2,111.1,169.9,4.0,5.1,31.27,47.94,1.0,1,1.0,1
HE 160 A,152.0,160.0,6.0,9.0,15.0,134.0,104.0,38.8,0.906,1672.0,220.1,245.1,6.5,13.21,615.5,76.94,117.6,3.9,4.1,12.09,31.4,1.0,2,1.0,2
HE 160 AA,148.0,160.0,4.5,7.0,15.0,134.0,104.0,30.4,0.901,1282.0,173.3,190.4,6.5,10.37,478.7,59.84,91.36,3.9,3.6,6.431,23.75,3.0,3,3.0,3
HE 140 M,160.0,146.0,13.0,22.0,12.0,116.0,92.0,80.6,0.857,3291.0,411.4,493.8,6.3,24.45,1144.0,156.7,240.5,3.7,7.1,118.6,54.32,1.0,1,1.0,1
HE 140 C,150.0,143.0,10.0,17.0,12.0,116.0,92.0,61.5,0.831,2329.0,310.6,363.8,6.1,18.61,830.2,116.1,177.6,3.6,5.8,55.37,36.63,1.0,1,1.0,1
HE 140 B,140.0,140.0,7.0,12.0,12.0,116.0,92.0,43.0,0.805,1509.0,215.6,245.4,5.9,13.07,549.6,78.52,119.7,3.5,4.5,20.15,22.47,1.0,1,1.0,1
HE 140 A,133.0,140.0,5.5,8.5,12.0,116.0,92.0,31.4,0.794,1033.0,155.3,173.4,5.7,10.12,389.3,55.61,84.84,3.5,3.6,8.101,15.06,1.0,2,1.0,2
HE 140 AA,128.0,140.0,4.3,6.0,12.0,116.0,92.0,23.0,0.787,719.4,112.4,123.7,5.5,7.922,274.8,39.26,59.93,3.4,3.0,3.433,10.21,3.0,3,3.0,3
HE 120 M,140.0,126.0,12.5,21.0,12.0,98.0,74.0,66.4,0.738,2017.0,288.2,350.6,5.5,21.15,702.7,111.5,171.6,3.2,6.8,90.51,24.78,1.0,1,1.0,1
HE 120 C,130.0,123.0,9.5,16.0,12.0,98.0,74.0,49.9,0.712,1388.0,213.5,252.8,5.2,15.9,497.6,80.92,124.1,3.1,5.5,40.72,16.12,1.0,1,1.0,1
HE 120 B,120.0,120.0,6.5,11.0,12.0,98.0,74.0,34.0,0.686,864.3,144.0,165.2,5.0,10.96,317.5,52.92,80.96,3.0,4.2,13.93,9.409,1.0,1,1.0,1
HE 120 A,114.0,120.0,5.0,8.0,12.0,98.0,74.0,25.3,0.677,606.1,106.3,119.4,4.8,8.456,230.8,38.48,58.85,3.0,3.5,6.041,6.471,1.0,1,1.0,1
HE 120 AA,109.0,120.0,4.2,5.5,12.0,98.0,74.0,18.6,0.669,413.3,75.84,84.11,4.7,6.903,158.8,26.46,40.62,2.9,2.9,2.591,4.242,3.0,3,3.0,3
HE 100 M,120.0,106.0,12.0,20.0,12.0,80.0,56.0,53.2,0.619,1142.0,190.4,235.8,4.6,18.03,399.1,75.31,116.3,2.7,6.6,67.23,9.925,1.0,1,1.0,1
HE 100 C,110.0,103.0,9.0,15.0,12.0,80.0,56.0,39.3,0.593,758.6,137.9,165.7,4.3,13.38,274.3,53.27,82.07,2.6,5.3,29.1,6.163,1.0,1,1.0,1
HE 100 B,100.0,100.0,6.0,10.0,12.0,80.0,56.0,26.0,0.567,449.5,89.9,104.2,4.1,9.036,167.2,33.45,51.42,2.5,4.0,9.33,3.375,1.0,1,1.0,1
HE 100 A,96.0,100.0,5.0,8.0,12.0,80.0,56.0,21.2,0.561,349.2,72.75,83.01,4.0,7.556,133.8,26.76,41.14,2.5,3.5,5.283,2.581,1.0,1,1.0,1
HE 100 AA,91.0,100.0,4.2,5.5,12.0,80.0,56.0,15.6,0.553,236.5,51.97,58.35,3.8,6.147,92.06,18.41,28.44,2.4,2.9,2.325,1.675,1.0,2,1.0,2
HL,,,,,,,,,,,,,,,,,,,,,,,,,
HL 1100 x 607,1138.0,410.0,31.0,55.0,30.0,1028.0,968.0,773.1,3.802,1624100.0,28540.0,33000.0,45.7,376.4,63470.0,3096.0,4886.0,9.0,17.6,5789.0,185250.0,1.0,1,3.0,4
HL 1100 x 548,1128.0,407.0,28.0,50.0,30.0,1028.0,968.0,698.3,3.776,1456640.0,25820.0,29720.0,45.5,339.5,56400.0,2771.0,4358.0,8.9,16.3,4344.0,163220.0,1.0,1,4.0,4
HL 1100 R,1118.0,405.0,26.0,45.0,30.0,1028.0,968.0,635.2,3.752,1305020.0,23340.0,26810.0,45.1,313.7,50000.0,2469.0,3879.0,8.8,15.1,3253.0,143400.0,1.0,1,4.0,4
HL 1100 M,1108.0,402.0,22.0,40.0,30.0,1028.0,968.0,551.2,3.728,1136540.0,20510.0,23370.0,45.2,266.6,43420.0,2160.0,3370.0,8.8,13.7,2229.0,123500.0,1.0,1,4.0,4
HL 1100 B,1100.0,400.0,20.0,36.0,30.0,1028.0,968.0,497.0,3.708,1016360.0,18470.0,20990.0,45.0,242.1,38490.0,1924.0,2995.0,8.7,12.7,1649.0,108680.0,1.0,1,4.0,4
HL 1100 A,1090.0,400.0,18.0,31.0,30.0,1028.0,968.0,436.5,3.692,878350.0,16110.0,18270.0,44.6,216.9,33130.0,1656.0,2575.0,8.6,11.5,1104.0,92700.0,1.0,2,4.0,4
HL 1000 x 976,1108.0,428.0,50.0,89.9,30.0,928.0,868.0,1241.4,3.776,2348680.0,42390.0,50290.0,43.4,570.7,118520.0,5538.0,8838.0,9.7,26.4,24410.0,304410.0,1.0,1,1.0,1
HL 1000 x 883,1092.0,424.0,45.5,82.0,30.0,928.0,868.0,1125.3,3.737,2096410.0,38390.0,45260.0,43.1,516.4,104970.0,4951.0,7873.0,9.6,24.4,18510.0,265670.0,1.0,1,1.0,1
HL 1000 x 748,1068.0,417.0,39.0,70.0,30.0,928.0,868.0,953.4,3.674,1731940.0,32430.0,37880.0,42.6,438.9,85110.0,4082.0,6459.0,9.4,21.4,11550.0,210640.0,1.0,1,1.0,1
HL 1000 x 642,1048.0,412.0,34.0,60.0,30.0,928.0,868.0,817.6,3.624,1450580.0,27680.0,32090.0,42.1,379.6,70280.0,3411.0,5378.0,9.2,18.9,7381.0,170660.0,1.0,1,1.0,2
HL 1000 x 591,1040.0,409.0,31.0,55.9,30.0,928.0,868.0,752.7,3.602,1331030.0,25590.0,29520.0,42.0,346.3,64010.0,3130.0,4915.0,9.2,17.7,5895.0,154320.0,1.0,1,2.0,3
HL 1000 x 554,1032.0,408.0,29.5,52.0,30.0,928.0,868.0,705.8,3.585,1232370.0,23880.0,27490.0,41.7,328.0,59090.0,2896.0,4546.0,9.1,16.8,4834.0,141320.0,1.0,1,2.0,3
HL 1000 x 539,1030.0,407.0,28.4,51.1,30.0,928.0,868.0,687.2,3.58,1202530.0,23350.0,26820.0,41.8,316.3,57630.0,2832.0,4435.0,9.1,16.5,4529.0,137550.0,1.0,1,2.0,4
HL 1000 x 483,1020.0,404.0,25.4,46.0,30.0,928.0,868.0,615.1,3.554,1067480.0,20930.0,23920.0,41.6,282.7,50710.0,2510.0,3918.0,9.0,15.2,3306.0,119890.0,1.0,1,4.0,4
HL 1000 x 443,1012.0,402.0,23.6,41.9,30.0,928.0,868.0,563.7,3.533,966510.0,19100.0,21770.0,41.4,261.8,45490.0,2263.0,3529.0,8.9,14.2,2543.0,106730.0,1.0,1,4.0,4
HL 1000 M,1008.0,402.0,21.1,40.0,30.0,928.0,868.0,525.1,3.53,910470.0,18060.0,20460.0,41.6,235.9,43400.0,2159.0,3348.0,9.0,13.6,2144.0,101450.0,1.0,1,4.0,4
HL 1000 B,1000.0,400.0,19.0,36.1,30.0,928.0,868.0,472.8,3.51,813730.0,16270.0,18360.0,41.4,212.5,38580.0,1929.0,2984.0,9.0,12.6,1588.0,89440.0,1.0,1,4.0,4
HL 1000 A,990.0,400.0,16.5,31.0,30.0,928.0,868.0,408.8,3.495,696440.0,14060.0,15790.0,41.2,184.5,33120.0,1656.0,2554.0,9.0,11.3,1033.0,76020.0,1.0,2,4.0,4
HL 1000 AA,982.0,400.0,16.5,27.1,30.0,928.0,868.0,377.6,3.479,620310.0,12630.0,14250.0,40.5,181.5,28960.0,1448.0,2242.0,8.7,10.5,763.6,65890.0,1.0,2,4.0,4
HL 920 x 1377,1093.0,473.0,76.7,115.1,25.0,862.8,812.8,1753.7,3.882,3035400.0,55540.0,67740.0,41.5,812.9,206350.0,8725.0,14160.0,10.8,33.6,60450.0,485320.0,1.0,1,1.0,1
HL 920 x 1269,1093.0,461.0,64.0,115.1,25.0,862.8,812.8,1616.5,3.859,2901080.0,53080.0,64020.0,42.3,688.7,189900.0,8238.0,13130.0,10.8,32.3,52120.0,449320.0,1.0,1,1.0,1
HL 920 x 1194,1081.0,457.0,60.5,109.0,25.0,862.8,812.8,1521.5,3.826,2696760.0,49890.0,59910.0,42.0,647.9,175050.0,7660.0,12190.0,10.7,30.7,44110.0,409540.0,1.0,1,1.0,1
HL 920 x 1077,1061.0,451.0,55.0,99.1,25.0,862.8,812.8,1371.5,3.773,2379090.0,44840.0,53450.0,41.6,583.9,152760.0,6774.0,10740.0,10.5,28.2,33050.0,350470.0,1.0,1,1.0,1
HL 920 x 970,1043.0,446.0,50.0,89.9,25.0,862.8,812.8,1236.6,3.727,2104260.0,40350.0,47750.0,41.2,526.8,133870.0,6003.0,9497.0,10.3,25.9,24680.0,301870.0,1.0,1,1.0,1
HL 920 x 787,1011.0,437.0,40.9,73.9,25.0,862.8,812.8,1002.0,3.645,1649860.0,32630.0,38110.0,40.5,425.5,103310.0,4728.0,7431.0,10.1,21.7,13650.0,225650.0,1.0,1,1.0,1
HL 920 x 725,999.0,434.0,38.1,68.1,25.0,862.8,812.8,922.9,3.615,1496530.0,29960.0,34830.0,40.2,394.0,93210.0,4295.0,6739.0,10.0,20.3,10750.0,201000.0,1.0,1,1.0,1
HL 920 x 656,987.0,431.0,34.5,62.0,25.0,862.8,812.8,835.3,3.586,1339430.0,27140.0,31360.0,39.9,355.4,83050.0,3854.0,6027.0,9.9,18.7,8098.0,176960.0,1.0,1,1.0,1
HL 920 x 588,975.0,427.0,31.0,55.9,25.0,862.8,812.8,748.1,3.553,1185310.0,24310.0,27940.0,39.7,318.2,72770.0,3408.0,5314.0,9.8,17.2,5923.0,153180.0,1.0,1,1.0,2
HL 920 x 537,965.0,425.0,28.4,51.1,25.0,862.8,812.8,682.5,3.53,1069610.0,22160.0,25360.0,39.5,290.4,65560.0,3085.0,4799.0,9.7,15.9,4542.0,136510.0,1.0,1,2.0,3
HL 920 x 491,957.0,422.0,25.9,47.0,25.0,862.8,812.8,623.3,3.507,970410.0,20280.0,23090.0,39.3,264.5,59010.0,2796.0,4339.0,9.7,14.9,3520.0,121870.0,1.0,1,3.0,4
HL 920 x 449,948.0,423.0,24.0,42.7,25.0,862.8,812.8,571.4,3.497,878790.0,18540.0,21040.0,39.1,243.9,53980.0,2552.0,3953.0,9.7,13.8,2692.0,110360.0,1.0,1,3.0,4
HL 920 x 420,943.0,422.0,22.5,39.9,25.0,862.8,812.8,534.1,3.486,817410.0,17330.0,19620.0,39.0,228.5,50070.0,2373.0,3671.0,9.6,13.1,2208.0,101890.0,1.0,1,4.0,4
HL 920 x 390,936.0,420.0,21.3,36.6,25.0,862.8,812.8,494.3,3.466,745810.0,15930.0,18010.0,38.7,215.2,45270.0,2156.0,3334.0,9.5,12.3,1741.0,91390.0,1.0,1,4.0,4
HL 920 x 368,931.0,419.0,20.3,34.3,25.0,862.8,812.8,465.6,3.454,696290.0,14950.0,16880.0,38.5,204.5,42120.0,2010.0,3108.0,9.4,11.8,1452.0,84530.0,1.0,1,4.0,4
HL 920 x 344,927.0,418.0,19.3,32.0,25.0,862.8,812.8,437.2,3.444,649060.0,14000.0,15790.0,38.4,194.1,39010.0,1866.0,2884.0,9.4,11.2,1198.0,78000.0,1.0,1,4.0,4
HLZ,,,,,,,,,,,,,,,,,,,,,,,,,
HLZ 1100 D,1087.4,460.0,22.0,37.0,35.0,,935.9,577.5,3.911,1156300.0,21260.0,24050.0,44.8,267.5,60150.0,2615.0,4057.0,10.2,13.7,2131.0,165560.0,1.0,1,4.0,4
HLZ 1100 C,1083.4,459.0,21.0,35.0,35.0,,935.9,548.3,3.901,1091510.0,20140.0,22750.0,44.7,255.1,56520.0,2463.0,3817.0,10.1,13.2,1826.0,155000.0,1.0,1,4.0,4
HLZ 1100 B,1079.4,458.0,20.0,33.0,35.0,,935.9,519.1,3.891,1027360.0,19030.0,21470.0,44.6,242.8,52940.0,2312.0,3581.0,10.1,12.7,1553.0,144640.0,1.0,1,4.0,4
HLZ 1100 A,1075.4,458.0,20.0,31.0,35.0,,935.9,500.8,3.883,974190.0,18110.0,20480.0,44.2,241.0,49740.0,2172.0,3371.0,10.0,12.3,1358.0,135350.0,1.0,1,4.0,4
HD,,,,,,,,,,,,,,,,,,,,,,,,,
HD 400 x 1299,600.0,476.0,100.0,140.0,20.0,320.0,280.0,1654.7,2.87,754950.0,25160.0,33260.0,21.3,519.4,254410.0,10680.0,16670.0,12.3,40.3,95520.0,133120.0,1.0,1,1.0,1
HD 400 x 1202,580.0,471.0,95.0,130.0,20.0,320.0,280.0,1530.5,2.82,663970.0,22890.0,30030.0,20.8,482.9,228760.0,9714.0,15150.0,12.2,37.8,77190.0,114600.0,1.0,1,1.0,1
HD 400 x 1086,569.0,454.0,78.0,125.0,20.0,320.0,280.0,1385.8,2.764,596070.0,20950.0,27230.0,20.7,399.7,196270.0,8646.0,13380.0,11.8,35.1,61220.0,96070.0,1.0,1,1.0,1
HD 400 x 990,550.0,448.0,71.9,115.0,20.0,320.0,280.0,1262.4,2.714,519260.0,18880.0,24300.0,20.2,362.1,173380.0,7740.0,11960.0,11.7,32.5,47490.0,81520.0,1.0,1,1.0,1
HD 400 x 900,531.0,442.0,65.9,106.0,20.0,320.0,280.0,1149.2,2.664,450550.0,16970.0,21640.0,19.7,325.9,153360.0,6939.0,10710.0,11.5,30.1,36880.0,68880.0,1.0,1,1.0,1
HD 400 x 818,514.0,437.0,60.5,97.0,20.0,320.0,280.0,1043.3,2.621,392540.0,15270.0,19270.0,19.3,294.5,135540.0,6203.0,9566.0,11.3,27.7,28210.0,58650.0,1.0,1,1.0,1
HD 400 x 744,498.0,432.0,55.6,88.9,20.0,320.0,280.0,948.1,2.578,342470.0,13750.0,17180.0,18.9,266.4,119940.0,5553.0,8553.0,11.2,25.6,21660.0,49980.0,1.0,1,1.0,1
HD 400 x 677,483.0,428.0,51.2,81.5,20.0,320.0,280.0,863.4,2.541,299820.0,12410.0,15360.0,18.6,241.6,106880.0,4994.0,7684.0,11.1,23.7,16680.0,42910.0,1.0,1,1.0,1
HD 400 x 634,474.0,424.0,47.6,77.1,20.0,320.0,280.0,808.0,2.514,274520.0,11580.0,14240.0,18.4,223.1,98260.0,4635.0,7121.0,11.0,22.5,13960.0,38570.0,1.0,1,1.0,1
HD 400 x 592,465.0,421.0,45.0,72.3,20.0,320.0,280.0,754.9,2.49,250510.0,10770.0,13160.0,18.1,209.0,90180.0,4284.0,6578.0,10.9,21.3,11520.0,34660.0,1.0,1,1.0,1
HD 400 x 551,455.0,418.0,42.0,67.6,20.0,320.0,280.0,701.4,2.464,226460.0,9954.0,12070.0,17.9,193.1,82500.0,3947.0,6055.0,10.8,20.0,9395.0,30870.0,1.0,1,1.0,1
HD 400 x 509,446.0,416.0,39.1,62.7,20.0,320.0,280.0,649.0,2.443,204880.0,9187.0,11050.0,17.7,178.3,75410.0,3625.0,5556.0,10.7,18.7,7513.0,27630.0,1.0,1,1.0,1
HD 400 x 463,435.0,412.0,35.8,57.4,20.0,320.0,280.0,589.5,2.412,180510.0,8299.0,9900.0,17.4,161.5,67040.0,3254.0,4981.0,10.6,17.4,5746.0,23840.0,1.0,1,1.0,1
HD 400 x 421,425.0,409.0,32.8,52.6,20.0,320.0,280.0,537.1,2.386,159930.0,7526.0,8903.0,17.2,146.6,60080.0,2938.0,4492.0,10.5,16.1,4416.0,20790.0,1.0,1,1.0,1
